EBI Biomes	environmental feature	environmental material	biome	quality	GOLD Path > delim
Pelagic			http://purl.obolibrary.org/obo/ENVO_01000023		root > Environmental > Aquatic > Marine > Pelagic
Sediment		http://purl.obolibrary.org/obo/ENVO_03000033	http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Sediment
Volcanic			http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Volcanic
Wetlands			http://purl.obolibrary.org/obo/ENVO_00000230		root > Environmental > Aquatic > Marine > Wetlands
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_01001209		root > Environmental > Aquatic > Marine > Wetlands > Sediment
Meromictic lake	http://purl.obolibrary.org/obo/ENVO_00000199		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Meromictic lake
Non-marine Saline and Alkaline			http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Non-marine Saline and Alkaline
Alkaline			http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline
Carbonate		http://purl.obolibrary.org/obo/CHEBI_41609	http://purl.obolibrary.org/obo/ENVO_01000316	http://purl.obolibrary.org/obo/PATO_0001162	root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline > Carbonate
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline > Sediment
Hypersaline			http://purl.obolibrary.org/obo/ENVO_01001043		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_01001043		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_01001036	http://purl.obolibrary.org/obo/ENVO_01001043		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Sediment
Near-boiling (>90C)			http://purl.obolibrary.org/obo/ENVO_01000318	http://purl.obolibrary.org/obo/PATO_0001317	root > Environmental > Aquatic > Non-marine Saline and Alkaline > Near-boiling (>90C)
Alkaline			http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Near-boiling (>90C) > Alkaline
Saline			http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Athalassic	http://purl.obolibrary.org/obo/ENVO_00000019		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Athalassic
Epilimnion	http://purl.obolibrary.org/obo/ENVO_00002131		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Epilimnion
Hypolimnion	http://purl.obolibrary.org/obo/ENVO_00002130		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Hypolimnion
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_01001036	http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Sediment
Thalassic			http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Thalassic
Salt crystallizer pond	http://purl.obolibrary.org/obo/ENVO_00000055		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer pond
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer pond > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Sediment
Thermal springs	http://purl.obolibrary.org/obo/ENVO_00000051		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Thermal springs
Hot (42-90C)			http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0001316	root > Environmental > Aquatic > Thermal springs > Hot (42-90C)
Acidic	http://purl.obolibrary.org/obo/ENVO_00002120		http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0001844	root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Acidic
Alkaline	http://purl.obolibrary.org/obo/ENVO_00002119		http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0001430	root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Alkaline
Neutral	http://purl.obolibrary.org/obo/ENVO_00002181		http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0045002	root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Neutral
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_01000305		root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment
Near-boiling (>90C)			http://purl.obolibrary.org/obo/ENVO_01000318	http://purl.obolibrary.org/obo/PATO_0001317	root > Environmental > Aquatic > Thermal springs > Near-boiling (>90C)
Alkaline	http://purl.obolibrary.org/obo/ENVO_00002119		http://purl.obolibrary.org/obo/ENVO_01000318	http://purl.obolibrary.org/obo/PATO_0001430	root > Environmental > Aquatic > Thermal springs > Near-boiling (>90C) > Alkaline
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Thermal springs > Sediment
Tepid (25-34C)			http://purl.obolibrary.org/obo/ENVO_00002030	http://purl.obolibrary.org/obo/PATO_0001315	root > Environmental > Aquatic > Thermal springs > Tepid (25-34C)
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Thermal springs > Tepid (25-34C) > Sediment
Warm (34-42C)				http://purl.obolibrary.org/obo/PATO_0001316	root > Environmental > Aquatic > Thermal springs > Warm (34-42C)
Neutral	http://purl.obolibrary.org/obo/ENVO_00002181		http://purl.obolibrary.org/obo/ENVO_00002030	http://purl.obolibrary.org/obo/PATO_0045002	root > Environmental > Aquatic > Thermal springs > Warm (34-42C) > Neutral
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Thermal springs > Warm (34-42C) > Sediment
Terrestrial			http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial
Agricultural field	http://purl.obolibrary.org/obo/ENVO_00000114		http://purl.obolibrary.org/obo/ENVO_01000245		root > Environmental > Terrestrial > Agricultural field
Asphalt lakes	http://purl.obolibrary.org/obo/ENVO_00000165		http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Asphalt lakes
Tar		http://purl.obolibrary.org/obo/ENVO_01000460	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Asphalt lakes > Tar
Deep subsurface			http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Deep subsurface
Clay		http://purl.obolibrary.org/obo/ENVO_00002982	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Deep subsurface > Clay
Geologic		http://purl.obolibrary.org/obo/ENVO_00000191	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Geologic
Mine		http://purl.obolibrary.org/obo/ENVO_00000076	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Geologic > Mine
Oil reservoir		http://purl.obolibrary.org/obo/ENVO_00002185	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Oil reservoir
Rock-dwelling (subaerial biofilm)	http://purl.obolibrary.org/obo/ENVO_00002034	http://purl.obolibrary.org/obo/ENVO_00001995	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Rock-dwelling (subaerial biofilm)
Soil		http://purl.obolibrary.org/obo/ENVO_00001998	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil
Agricultural		http://purl.obolibrary.org/obo/ENVO_00002259	http://purl.obolibrary.org/obo/ENVO_01000245		root > Environmental > Terrestrial > Soil > Agricultural
Boreal forest			http://purl.obolibrary.org/obo/ENVO_01000250		root > Environmental > Terrestrial > Soil > Boreal forest
Clay		http://purl.obolibrary.org/obo/ENVO_00002262	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Clay
Agricultural land		http://purl.obolibrary.org/obo/ENVO_00002259	http://purl.obolibrary.org/obo/ENVO_01000245		root > Environmental > Terrestrial > Soil > Clay > Agricultural land
Contaminated		http://purl.obolibrary.org/obo/ENVO_00002116	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Clay > Contaminated
Grasslands			http://purl.obolibrary.org/obo/ENVO_01000177		root > Environmental > Terrestrial > Soil > Clay > Grasslands
Oil-contaminated		http://purl.obolibrary.org/obo/ENVO_00002875	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Clay > Oil-contaminated
Contaminated		http://purl.obolibrary.org/obo/ENVO_00002116	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Contaminated
Crop		http://purl.obolibrary.org/obo/AGRO_00000325	http://purl.obolibrary.org/obo/ENVO_01000245		root > Environmental > Terrestrial > Soil > Crop
Agricultural land		http://purl.obolibrary.org/obo/ENVO_00002259	http://purl.obolibrary.org/obo/ENVO_01000245		root > Environmental > Terrestrial > Soil > Crop > Agricultural land
Desert	http://purl.obolibrary.org/obo/ENVO_01001357		http://purl.obolibrary.org/obo/ENVO_01000179		root > Environmental > Terrestrial > Soil > Desert
Forest soil			http://purl.obolibrary.org/obo/ENVO_01000174		root > Environmental > Terrestrial > Soil > Forest soil
Grasslands			http://purl.obolibrary.org/obo/ENVO_01000177		root > Environmental > Terrestrial > Soil > Grasslands
Loam		http://purl.obolibrary.org/obo/ENVO_00002258	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Loam
Agricultural		http://purl.obolibrary.org/obo/ENVO_00002259	http://purl.obolibrary.org/obo/ENVO_01000245		root > Environmental > Terrestrial > Soil > Loam > Agricultural
Contaminated		http://purl.obolibrary.org/obo/ENVO_00002116	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Loam > Contaminated
Forest soil			http://purl.obolibrary.org/obo/ENVO_01000174		root > Environmental > Terrestrial > Soil > Loam > Forest soil
Grasslands			http://purl.obolibrary.org/obo/ENVO_01000177		root > Environmental > Terrestrial > Soil > Loam > Grasslands
Mine		http://purl.obolibrary.org/obo/ENVO_00000076	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Mine
Mine drainage		http://purl.obolibrary.org/obo/ENVO_00001996	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Mine drainage
Oil-contaminated		http://purl.obolibrary.org/obo/ENVO_00002875	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Oil-contaminated
Permafrost		http://purl.obolibrary.org/obo/ENVO_00000134	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Permafrost
Sand	http://purl.obolibrary.org/obo/ENVO_01000017	http://purl.obolibrary.org/obo/ENVO_01000017	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Sand
Desert	http://purl.obolibrary.org/obo/ENVO_01001357	http://purl.obolibrary.org/obo/ENVO_00005800	http://purl.obolibrary.org/obo/ENVO_01000179		root > Environmental > Terrestrial > Soil > Sand > Desert
Forest soil			http://purl.obolibrary.org/obo/ENVO_01000174		root > Environmental > Terrestrial > Soil > Sand > Forest soil
Grasslands			http://purl.obolibrary.org/obo/ENVO_01000177		root > Environmental > Terrestrial > Soil > Sand > Grasslands
Oil-contaminated		http://purl.obolibrary.org/obo/ENVO_00002875	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Sand > Oil-contaminated
Shrubland			http://purl.obolibrary.org/obo/ENVO_01000176		root > Environmental > Terrestrial > Soil > Shrubland
Silt		http://purl.obolibrary.org/obo/ENVO_01000016	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Silt
Tropical rainforest		http://purl.obolibrary.org/obo/ENVO_00005778	http://purl.obolibrary.org/obo/ENVO_01001243	http://purl.obolibrary.org/obo/ENVO_01000204	root > Environmental > Terrestrial > Soil > Tropical rainforest
Uranium contaminated		http://purl.obolibrary.org/obo/ENVO_00002116	http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Soil > Uranium contaminated
Wetlands			http://purl.obolibrary.org/obo/ENVO_01001209		root > Environmental > Terrestrial > Soil > Wetlands
Permafrost		http://purl.obolibrary.org/obo/ENVO_00000134	http://purl.obolibrary.org/obo/ENVO_01001209		root > Environmental > Terrestrial > Soil > Wetlands > Permafrost
Volcanic	http://purl.obolibrary.org/obo/ENVO_00000247		http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Volcanic
Fumaroles	http://purl.obolibrary.org/obo/ENVO_00000216		http://purl.obolibrary.org/obo/ENVO_00000446		root > Environmental > Terrestrial > Volcanic > Fumaroles