ecosystem_path_id	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	biome_label	biome_iri	material_label	material_iri	feature_label	feature_iri
	Environmental					environmental system	ENVO:01000254				
	Environmental	Air						air	ENVO:00002005		
	Environmental	Air	Indoor Air							building	ENVO:00000073
	Environmental	Air	Outdoor Air							nitrogen-oxygen planetary atmosphere	ENVO:01000811
	Environmental	Aquatic				aquatic biome	ENVO:00002030				
	Environmental	Aquatic	Aquaculture			aquatic biome	ENVO:00002030				FOODON:03520111
	Environmental	Aquatic	Estuary			estuarine biome	ENVO:01000020			estuary	ENVO:00000045
	Environmental	Aquatic	Estuary	Sediment		estuarine biome	ENVO:01000020	sediment	ENVO:00002007		
	Environmental	Aquatic	Freshwater			freshwater biome	ENVO:00000873	fresh water	ENVO:00002011		
	Environmental	Aquatic	Freshwater	Drinking water		freshwater biome	ENVO:00000873	drinking water	ENVO:00003064		
	Environmental	Aquatic	Freshwater	Drinking water	Chlorinated	freshwater biome	ENVO:00000873		FOODON:03301647		
	Environmental	Aquatic	Freshwater	Drinking water	Delivery networks					plumbing fixture	ENVO:01000989
	Environmental	Aquatic	Freshwater	Groundwater		freshwater biome	ENVO:00000873	groundwater	ENVO:01001004		
	Environmental	Aquatic	Freshwater	Groundwater	Acid Mine Drainage	freshwater biome	ENVO:00000873			acid mine drainage	ENVO:00001997
	Environmental	Aquatic	Freshwater	Groundwater	Biofilm	freshwater biome	ENVO:00000873			biofilm	ENVO:00002034
	Environmental	Aquatic	Freshwater	Groundwater	Cave water	freshwater biome	ENVO:00000873	cave	ENVO:00000067		
	Environmental	Aquatic	Freshwater	Groundwater	Coalbed water	freshwater biome	ENVO:00000873	coal	ENVO:02000091		
	Environmental	Aquatic	Freshwater	Groundwater	Contaminated	freshwater biome	ENVO:00000873	contaminated water	ENVO:00002186		
	Environmental	Aquatic	Freshwater	Groundwater	Mine	aquatic biome	ENVO:00002030			mine	ENVO:00000076
	Environmental	Aquatic	Freshwater	Groundwater	Mine drainage	freshwater biome	ENVO:00000873	mine drainage	ENVO:00001996		
	Environmental	Aquatic	Freshwater	Ice		freshwater biome	ENVO:00000873	water ice	ENVO:01000277		
	Environmental	Aquatic	Freshwater	Ice	Glacial lake	freshwater lake biome	ENVO:01000252			glacial lake	ENVO:00000488
	Environmental	Aquatic	Freshwater	Ice	Glacier	freshwater biome	ENVO:00000873	glacier	ENVO:00000133	glacial feature	ENVO:00000131
	Environmental	Aquatic	Freshwater	Ice	Ice accretions	freshwater biome	ENVO:00000873	ice mass	ENVO:01000293		
	Environmental	Aquatic	Freshwater	Lake		freshwater lake biome	ENVO:01000252	freshwater lake	ENVO:00000021		
	Environmental	Aquatic	Freshwater	Lentic		freshwater biome	ENVO:00000873			lentic water body	ENVO:01000617
	Environmental	Aquatic	Freshwater	Lentic	Epilimnion	freshwater lake biome	ENVO:01000252			epilimnion	ENVO:00002131
	Environmental	Aquatic	Freshwater	Lentic	Hypolimnion	freshwater lake biome	ENVO:01000252			hypolimnion	ENVO:00002130
	Environmental	Aquatic	Freshwater	Lentic	Limnetic zone	freshwater lake biome	ENVO:01000252				
	Environmental	Aquatic	Freshwater	Lentic	Littoral zone	freshwater biome	ENVO:00000873				
	Environmental	Aquatic	Freshwater	Lentic	Sediment	freshwater biome	ENVO:00000873	sediment	ENVO:00002007		
	Environmental	Aquatic	Freshwater	Lotic		freshwater biome	ENVO:00000873	lotic water body	ENVO:01000618		
	Environmental	Aquatic	Freshwater	Lotic	Acidic	acidic environment	ENVO:01000315				
	Environmental	Aquatic	Freshwater	Lotic	Low land river systems	freshwater river biome	ENVO:01000253				
	Environmental	Aquatic	Freshwater	Lotic	Microbial mats	freshwater biome	ENVO:00000873			microbial mat	ENVO:01000008
	Environmental	Aquatic	Freshwater	Lotic	Mid stream	freshwater biome	ENVO:00000873				
	Environmental	Aquatic	Freshwater	Lotic	Sediment	freshwater biome	ENVO:00000873	sediment permeated by freshwater	ENVO:01001028		
	Environmental	Aquatic	Freshwater	Microbialites		freshwater biome	ENVO:00000873				
	Environmental	Aquatic	Freshwater	Pond		freshwater biome	ENVO:00000873			pond	ENVO:00000033
	Environmental	Aquatic	Freshwater	Pond	Sediment	freshwater biome	ENVO:00000873	sediment permeated by freshwater	ENVO:01001028		
	Environmental	Aquatic	Freshwater	Sediment		freshwater biome	ENVO:00000873	sediment permeated by freshwater	ENVO:01001028		
	Environmental	Aquatic	Freshwater	Storm water		freshwater biome	ENVO:00000873	stormwater	ENVO:01001267		
	Environmental	Aquatic	Freshwater	Storm water	Drainage pipe biofilm			biofilm material	ENVO:01000156	plumbing drain	ENVO:01000924
	Environmental	Aquatic	Freshwater	Subglacial lake		freshwater lake biome	ENVO:01000252			subglacial lake	ENVO:03000120
	Environmental	Aquatic	Freshwater	Wetlands		freshwater wetland ecosystem	ENVO:00000243				
	Environmental	Aquatic	Freshwater	Wetlands	Bog	freshwater wetland ecosystem	ENVO:00000243				
	Environmental	Aquatic	Freshwater	Wetlands	Marsh	freshwater marsh	ENVO:00000053				
	Environmental	Aquatic	Freshwater	Wetlands	Sediment	freshwater wetland ecosystem	ENVO:00000243	sediment permeated by freshwater	ENVO:01001028		
	Environmental	Aquatic	Freshwater	Wetlands	Swamp	swamp ecosystem	ENVO:00000233				
	Environmental	Aquatic	Lentic			aquatic biome	ENVO:00002030			lentic water body	ENVO:01000617
	Environmental	Aquatic	Lentic	Brackish		brackish water environment	ENVO:01000322	brackish water	ENVO:00002019		
	Environmental	Aquatic	Marine			marine biome	ENVO:00000447				
	Environmental	Aquatic	Marine	Brackish		brackish water environment	ENVO:01000322	brackish water	ENVO:00002019		
	Environmental	Aquatic	Marine	Coastal		marine biome	ENVO:00000447			coastal water body	ENVO:02000049
	Environmental	Aquatic	Marine	Coastal	Sediment	marine biome	ENVO:00000447	marine sediment	ENVO:03000033		
	Environmental	Aquatic	Marine	Cold seeps		marine cold seep biome	ENVO:01000127			cold seep	ENVO:01000263
	Environmental	Aquatic	Marine	Cold seeps	Sediment	marine cold seep biome	ENVO:01000127	marine sediment	ENVO:03000033		
	Environmental	Aquatic	Marine	Fossil		marine biome	ENVO:00000447			fossil	ENVO:00002164
	Environmental	Aquatic	Marine	Fossil	Whale fall	marine biome	ENVO:00000447			whale fall	ENVO:01000140
	Environmental	Aquatic	Marine	Hydrothermal vents		marine hydrothermal vent biome	ENVO:01000030			hydrothermal vent	ENVO:00000215
	Environmental	Aquatic	Marine	Hydrothermal vents	Black smokers	marine black smoker biome	ENVO:01000051			black smoker	ENVO:00000218
	Environmental	Aquatic	Marine	Hydrothermal vents	Diffuse flow	marine hydrothermal vent biome	ENVO:01000030	hydrothermal fluid	ENVO:01000134		
	Environmental	Aquatic	Marine	Hydrothermal vents	Microbial mats	marine hydrothermal vent biome	ENVO:01000030			microbial mat	ENVO:01000008
	Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	marine hydrothermal vent biome	ENVO:01000030	marine sediment	ENVO:03000033		
	Environmental	Aquatic	Marine	Intertidal zone		intertidal ecosystem	ENVO:01001468				
	Environmental	Aquatic	Marine	Intertidal zone	Beach	intertidal ecosystem	ENVO:01001468			beach	ENVO:00000091
	Environmental	Aquatic	Marine	Intertidal zone	Coral reef	marine coral reef biome	ENVO:01000049			coral reef	ENVO:00000150
	Environmental	Aquatic	Marine	Intertidal zone	Estuary	estuarine biome	ENVO:01000020			estuary	ENVO:00000045
	Environmental	Aquatic	Marine	Intertidal zone	Mangrove swamp	mangrove swamp	ENVO:00000057				
	Environmental	Aquatic	Marine	Intertidal zone	Microbialites	intertidal ecosystem	ENVO:01001468				
	Environmental	Aquatic	Marine	Intertidal zone	Oil-contaminated	intertidal ecosystem	ENVO:01001468	oil	ENVO:00002985		
	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	marine salt marsh biome	ENVO:01000022				
	Environmental	Aquatic	Marine	Intertidal zone	Sediment	intertidal ecosystem	ENVO:01001468	intertidal sediment	ENVO:00002179		
	Environmental	Aquatic	Marine	Marginal Sea		marginal sea biome	ENVO:01000046				
	Environmental	Aquatic	Marine	Neritic zone		neritic pelagic zone biome	ENVO:01000032				
	Environmental	Aquatic	Marine	Neritic zone	Oil-contaminated sediment			oil	ENVO:00002985		
	Environmental	Aquatic	Marine	Neritic zone	Sediment	neritic pelagic zone biome	ENVO:01000032	marine sediment	ENVO:03000033		
	Environmental	Aquatic	Marine	Oceanic		ocean biome	ENVO:01000048				
	Environmental	Aquatic	Marine	Oceanic	Abyssal plane	marine abyssal zone biome	ENVO:01000027			abyssal plain	ENVO:00000244
	Environmental	Aquatic	Marine	Oceanic	Aphotic zone	ocean biome	ENVO:01000048			marine aphotic zone	ENVO:00000210
	Environmental	Aquatic	Marine	Oceanic	Benthic	marine benthic biome	ENVO:01000024			marine benthic feature	ENVO:01000105
	Environmental	Aquatic	Marine	Oceanic	Oil-contaminated	ocean biome	ENVO:01000048	oil	ENVO:00002985		
	Environmental	Aquatic	Marine	Oceanic	Oil-contaminated sediments	ocean biome	ENVO:01000048	contaminated sediment	ENVO:00002114	oil	ENVO:00002985
	Environmental	Aquatic	Marine	Oceanic	Photic zone	ocean biome	ENVO:01000048			marine photic zone	ENVO:00000209
	Environmental	Aquatic	Marine	Oceanic	Sediment	ocean biome	ENVO:01000048	marine sediment	ENVO:03000033		
	Environmental	Aquatic	Marine	Oil field		marine biome	ENVO:00000447	oil field production water	ENVO:00002194		
	Environmental	Aquatic	Marine	Oil field	bore hole	marine biome	ENVO:00000447	bore hole water	ENVO:00003097	borehole	ENVO:00002226
	Environmental	Aquatic	Marine	Oil seeps		marine biome	ENVO:00000447	oil seep	ENVO:00002063		
	Environmental	Aquatic	Marine	Oil-contaminated sediment				contaminated sediment	ENVO:00002114	oil	ENVO:00002985
	Environmental	Aquatic	Marine	Pelagic		marine pelagic biome	ENVO:01000023				
	Environmental	Aquatic	Marine	Sediment		marine biome	ENVO:00000447	marine sediment	ENVO:03000033		
	Environmental	Aquatic	Marine	Volcanic		marine biome	ENVO:00000447				
	Environmental	Aquatic	Marine	Wetlands		coastal wetland ecosystem	ENVO:00000230				
	Environmental	Aquatic	Marine	Wetlands	Sediment	wetland ecosystem	ENVO:01001209	sediment	ENVO:00002007		
	Environmental	Aquatic	Meromictic lake			aquatic biome	ENVO:00002030			meromictic lake	ENVO:00000199
	Environmental	Aquatic	Non-marine Saline and Alkaline			aquatic biome	ENVO:00002030				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline		alkaline environment	ENVO:01000316				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Carbonate	alkaline environment	ENVO:01000316				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Microbial mats	alkaline environment	ENVO:01000316			microbial mat	ENVO:01000008
	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Sediment	alkaline environment	ENVO:01000316	sediment	ENVO:00002007		
	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline		hypersaline water environment	ENVO:01001043				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	hypersaline water environment	ENVO:01001043			microbial mat	ENVO:01000008
	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Sediment	hypersaline water environment	ENVO:01001043	sediment permeated by saline water	ENVO:01001036		
	Environmental	Aquatic	Non-marine Saline and Alkaline	Near-boiling (>90C)		extreme high temperature environment	ENVO:01000318				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Near-boiling (>90C)	Alkaline	alkaline environment	ENVO:01000316				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline		saline water environment	ENVO:01000307				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Athalassic	saline water environment	ENVO:01000307			saline lake	ENVO:00000019
	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Epilimnion	saline water environment	ENVO:01000307			epilimnion	ENVO:00002131
	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Hypolimnion	saline water environment	ENVO:01000307			hypolimnion	ENVO:00002130
	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Microbial mats	saline water environment	ENVO:01000307			microbial mat	ENVO:01000008
	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Sediment	saline water environment	ENVO:01000307	sediment permeated by saline water	ENVO:01001036		
	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Thalassic	saline water environment	ENVO:01000307				
	Environmental	Aquatic	Non-marine Saline and Alkaline	Salt crystallizer pond		saline water environment	ENVO:01000307			saline evaporation pond	ENVO:00000055
	Environmental	Aquatic	Non-marine Saline and Alkaline	Salt crystallizer pond	Microbial mats	aquatic biome	ENVO:00002030			microbial mat	ENVO:01000008
	Environmental	Aquatic	Sediment			aquatic biome	ENVO:00002030	sediment	ENVO:00002007		
	Environmental	Aquatic	Thermal springs			aquatic biome	ENVO:00002030			hot spring	ENVO:00000051
	Environmental	Aquatic	Thermal springs	Hot (42-90C)		high temperature environment	ENVO:01000305				
	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Acidic	high temperature environment	ENVO:01000305			acid hot spring	ENVO:00002120
	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Alkaline	high temperature environment	ENVO:01000305			alkaline hot spring	ENVO:00002119
	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Neutral	high temperature environment	ENVO:01000305			neutral hot spring	ENVO:00002181
	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment	high temperature environment	ENVO:01000305	sediment	ENVO:00002007		
	Environmental	Aquatic	Thermal springs	Near-boiling (>90C)		extreme high temperature environment	ENVO:01000318				
	Environmental	Aquatic	Thermal springs	Near-boiling (>90C)	Alkaline	extreme high temperature environment	ENVO:01000318			alkaline hot spring	ENVO:00002119
	Environmental	Aquatic	Thermal springs	Sediment		aquatic biome	ENVO:00002030	sediment	ENVO:00002007		
	Environmental	Aquatic	Thermal springs	Tepid (25-34C)		aquatic biome	ENVO:00002030				
	Environmental	Aquatic	Thermal springs	Tepid (25-34C)	Sediment	aquatic biome	ENVO:00002030	sediment	ENVO:00002007		
	Environmental	Aquatic	Thermal springs	Warm (34-42C)							
	Environmental	Aquatic	Thermal springs	Warm (34-42C)	Neutral	aquatic biome	ENVO:00002030			neutral hot spring	ENVO:00002181
	Environmental	Aquatic	Thermal springs	Warm (34-42C)	Sediment	aquatic biome	ENVO:00002030	sediment	ENVO:00002007		
	Environmental	Terrestrial				terrestrial biome	ENVO:00000446				
	Environmental	Terrestrial	Agricultural field			cropland biome	ENVO:01000245			agricultural field	ENVO:00000114
	Environmental	Terrestrial	Asphalt lakes			terrestrial biome	ENVO:00000446			asphalt lake	ENVO:00000165
	Environmental	Terrestrial	Asphalt lakes	Tar		terrestrial biome	ENVO:00000446	asphalt	ENVO:01000460		
	Environmental	Terrestrial	Deep subsurface			terrestrial biome	ENVO:00000446				
	Environmental	Terrestrial	Deep subsurface	Clay		terrestrial biome	ENVO:00000446	clay	ENVO:00002982		
	Environmental	Terrestrial	Geologic			terrestrial biome	ENVO:00000446	solid astronomical body part	ENVO:00000191		
	Environmental	Terrestrial	Geologic	Mine		terrestrial biome	ENVO:00000446	mine	ENVO:00000076		
	Environmental	Terrestrial	Oil reservoir			terrestrial biome	ENVO:00000446	oil reservoir	ENVO:00002185		
	Environmental	Terrestrial	Rock-dwelling (subaerial biofilm)			terrestrial biome	ENVO:00000446	rock	ENVO:00001995	biofilm	ENVO:00002034
	Environmental	Terrestrial	Soil			terrestrial biome	ENVO:00000446	soil	ENVO:00001998		
	Environmental	Terrestrial	Soil	Agricultural		cropland biome	ENVO:01000245	agricultural soil	ENVO:00002259		
	Environmental	Terrestrial	Soil	Boreal forest		subpolar coniferous forest biome	ENVO:01000250				
	Environmental	Terrestrial	Soil	Clay		terrestrial biome	ENVO:00000446	clay soil	ENVO:00002262		
	Environmental	Terrestrial	Soil	Clay	Agricultural land	cropland biome	ENVO:01000245	agricultural soil	ENVO:00002259		
	Environmental	Terrestrial	Soil	Clay	Contaminated	terrestrial biome	ENVO:00000446	contaminated soil	ENVO:00002116		
	Environmental	Terrestrial	Soil	Clay	Grasslands	grassland biome	ENVO:01000177				
	Environmental	Terrestrial	Soil	Clay	Oil-contaminated	terrestrial biome	ENVO:00000446	oil contaminated soil	ENVO:00002875		
	Environmental	Terrestrial	Soil	Contaminated		terrestrial biome	ENVO:00000446	contaminated soil	ENVO:00002116		
	Environmental	Terrestrial	Soil	Crop		cropland biome	ENVO:01000245				
	Environmental	Terrestrial	Soil	Crop	Agricultural land	cropland biome	ENVO:01000245	agricultural soil	ENVO:00002259		
	Environmental	Terrestrial	Soil	Desert		desert biome	ENVO:01000179			desert	ENVO:01001357
	Environmental	Terrestrial	Soil	Forest soil		forest biome	ENVO:01000174				
	Environmental	Terrestrial	Soil	Grasslands		grassland biome	ENVO:01000177				
	Environmental	Terrestrial	Soil	Loam		terrestrial biome	ENVO:00000446	loam	ENVO:00002258		
	Environmental	Terrestrial	Soil	Loam	Agricultural	cropland biome	ENVO:01000245	agricultural soil	ENVO:00002259		
	Environmental	Terrestrial	Soil	Loam	Contaminated	terrestrial biome	ENVO:00000446	contaminated soil	ENVO:00002116		
	Environmental	Terrestrial	Soil	Loam	Forest soil	forest biome	ENVO:01000174				
	Environmental	Terrestrial	Soil	Loam	Grasslands	grassland biome	ENVO:01000177				
	Environmental	Terrestrial	Soil	Mine		terrestrial biome	ENVO:00000446	mine	ENVO:00000076		
	Environmental	Terrestrial	Soil	Mine drainage		terrestrial biome	ENVO:00000446	mine drainage	ENVO:00001996		
	Environmental	Terrestrial	Soil	Oil-contaminated		terrestrial biome	ENVO:00000446	oil contaminated soil	ENVO:00002875		
	Environmental	Terrestrial	Soil	Permafrost		terrestrial biome	ENVO:00000446	permafrost	ENVO:00000134		
	Environmental	Terrestrial	Soil	Sand		terrestrial biome	ENVO:00000446	sand	ENVO:01000017	sand	ENVO:01000017
	Environmental	Terrestrial	Soil	Sand	Desert	desert biome	ENVO:01000179	desert sand	ENVO:00005800	desert	ENVO:01001357
	Environmental	Terrestrial	Soil	Sand	Forest soil	forest biome	ENVO:01000174				
	Environmental	Terrestrial	Soil	Sand	Grasslands	grassland biome	ENVO:01000177				
	Environmental	Terrestrial	Soil	Sand	Oil-contaminated	terrestrial biome	ENVO:00000446	oil contaminated soil	ENVO:00002875		
	Environmental	Terrestrial	Soil	Shrubland		shrubland biome	ENVO:01000176				
	Environmental	Terrestrial	Soil	Silt		terrestrial biome	ENVO:00000446	silt	ENVO:01000016		
	Environmental	Terrestrial	Soil	Tropical rainforest		forest ecosystem	ENVO:01001243	tropical soil	ENVO:00005778		
	Environmental	Terrestrial	Soil	Uranium contaminated		terrestrial biome	ENVO:00000446	contaminated soil	ENVO:00002116		
	Environmental	Terrestrial	Soil	Wetlands		wetland ecosystem	ENVO:01001209				
	Environmental	Terrestrial	Soil	Wetlands	Permafrost	wetland ecosystem	ENVO:01001209	permafrost	ENVO:00000134		
	Environmental	Terrestrial	Volcanic			terrestrial biome	ENVO:00000446			volcano	ENVO:00000247
	Environmental	Terrestrial	Volcanic	Fumaroles		terrestrial biome	ENVO:00000446			fumarole	ENVO:00000216
4845	Engineered	Artificial ecosystem	Mud microcosm	Unclassified	Unclassified						
4536	Engineered	Bioreactor	Aerobic	Unclassified	Unclassified						
4912	Engineered	Bioreactor	Anaerobic	Food waste	Unclassified						
4914	Engineered	Bioreactor	Anaerobic	Manure	Unclassified						
4442	Engineered	Bioreactor	Anaerobic	Unclassified	Unclassified						
4860	Engineered	Bioreactor	Continuous culture	Marine intertidal flat sediment inoculum	Unclassified						
4853	Engineered	Bioreactor	Continuous culture	Marine sediment inoculum	Unclassified						
4283	Engineered	Bioreactor	Continuous culture	Unclassified	Unclassified						
4282	Engineered	Bioreactor	Continuous culture	Unclassified	Wadden Sea-Germany						
4280	Engineered	Bioreactor	Unclassified	Unclassified	Unclassified						
4299	Engineered	Bioremediation	Hydrocarbon	Benzene	Bioreactor						
4452	Engineered	Bioremediation	Hydrocarbon	Methane	Unclassified						
4300	Engineered	Bioremediation	Hydrocarbon	Unclassified	Unclassified						
5087	Engineered	Bioremediation	Hydrocarbon	Xylene	Unclassified						
4306	Engineered	Bioremediation	Metal	Unclassified	Unclassified						
4305	Engineered	Bioremediation	Persistent organic pollutants (POP)	Polycyclic aromatic hydrocarbons	Unclassified						
4724	Engineered	Bioremediation	Persistent organic pollutants (POP)	Unclassified	Unclassified						
4722	Engineered	Bioremediation	Terephthalate	Unclassified	Unclassified						
4301	Engineered	Bioremediation	Terephthalate	Wastewater	Activated sludge						
4302	Engineered	Bioremediation	Terephthalate	Wastewater	Bioreactor						
4303	Engineered	Bioremediation	Terephthalate	Wastewater	Unclassified						
4297	Engineered	Bioremediation	Tetrachloroethylene and derivatives	Chloroethene	Bioreactor						
4298	Engineered	Bioremediation	Tetrachloroethylene and derivatives	Chloroethene	Unclassified						
4295	Engineered	Bioremediation	Tetrachloroethylene and derivatives	Tetrachloroethylene	Bioreactor						
4296	Engineered	Bioremediation	Tetrachloroethylene and derivatives	Tetrachloroethylene	Unclassified						
4436	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified						
4304	Engineered	Bioremediation	Unclassified	Unclassified	Unclassified						
4313	Engineered	Biotransformation	Microbial enhanced oil recovery	Unclassified	Unclassified						
4312	Engineered	Biotransformation	Microbial solubilization of coal	Unclassified	Unclassified						
4315	Engineered	Biotransformation	Mixed alcohol bioreactor	Unclassified	Unclassified						
4314	Engineered	Biotransformation	Unclassified	Unclassified	Unclassified						
5111	Engineered	Built environment	Canal	Irrigation canal	Sediment						
4401	Engineered	Built environment	Canal	Unclassified	Unclassified						
4812	Engineered	Built environment	Cement wall	Unclassified	Unclassified						
4398	Engineered	Built environment	City	Park	Unclassified						
4396	Engineered	Built environment	City	Subway	Unclassified						
4403	Engineered	Built environment	City	Unclassified	Unclassified						
4494	Engineered	Built environment	Hospital	Unclassified	Unclassified						
4847	Engineered	Built environment	House	Doormat	Unclassified						
4405	Engineered	Built environment	House	Unclassified	Unclassified						
4659	Engineered	Built environment	International Space Station	Unclassified	Unclassified						
4868	Engineered	Built environment	Oil refinery	Crude oil sludge	Petroleum sludge						
4521	Engineered	Built environment	Oil refinery	Petroleum sludge	Product sludge						
4519	Engineered	Built environment	Oil refinery	Petroleum sludge	Unclassified						
4817	Engineered	Built environment	Oil refinery	Unclassified	Unclassified						
5259	Engineered	Built environment	Petroleum storage tank	Flotation cells	Produced water						
4665	Engineered	Built environment	Pipeline	Unclassified	Unclassified						
4639	Engineered	Built environment	Solar panel	Unclassified	Unclassified						
4635	Engineered	Built environment	Spacecraft Assembly Cleanrooms	Unclassified	Unclassified						
4704	Engineered	Built environment	Swine confinement building	Unclassified	Unclassified						
4469	Engineered	Built environment	Tailings pond	Unclassified	Unclassified						
4279	Engineered	Built environment	Unclassified	Unclassified	Unclassified						
4407	Engineered	Built environment	Water treatment plant	Unclassified	Unclassified						
4897	Engineered	Feedstock	Composting	Unclassified	Unclassified						
4253	Engineered	Food production	Dairy products	Unclassified	Unclassified						
4252	Engineered	Food production	Fermented beverages	Unclassified	Unclassified						
4251	Engineered	Food production	Fermented seafood	Unclassified	Unclassified						
4249	Engineered	Food production	Fermented vegetables	Unclassified	Unclassified						
4488	Engineered	Food production	Meat products	Unclassified	Unclassified						
4248	Engineered	Food production	Silage fermentation	Unclassified	Unclassified						
4250	Engineered	Food production	Unclassified	Unclassified	Unclassified						
4618	Engineered	Industrial production	Biochar	Unclassified	Unclassified						
4595	Engineered	Industrial production	Engineered product	Bioanode	Unclassified						
4612	Engineered	Industrial production	Engineered product	Biocathode	Unclassified						
4294	Engineered	Industrial production	Engineered product	Unclassified	Unclassified						
4293	Engineered	Industrial production	Unclassified	Unclassified	Unclassified						
4288	Engineered	Lab enrichment	Defined media	Aerobic media	Unclassified						
