ecosystem_path_id	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	biome_label	biome_iri	material_label	material_iri	feature_label	feature_iri
4289	Engineered	Lab enrichment	Defined media	Anaerobic media	Unclassified						
4291	Engineered	Lab enrichment	Defined media	Marine media	Unclassified						
4287	Engineered	Lab enrichment	Defined media	Unclassified	Unclassified						
4285	Engineered	Lab enrichment	Unclassified	Unclassified	Unclassified						
4286	Engineered	Lab enrichment	Undefined media	Unclassified	Unclassified						
4720	Engineered	Lab synthesis	Genetic cross	Unclassified	Unclassified						
4247	Engineered	Lab synthesis	Unclassified	Unclassified	Unclassified						
4726	Engineered	Laboratory developed	Genetically modified	Unclassified	Unclassified						
4729	Engineered	Laboratory developed	Unclassified	Unclassified	Unclassified						
4311	Engineered	Modeled	Simulated communities (DNA mixture)	Unclassified	Unclassified						
4308	Engineered	Modeled	Simulated communities (microbial mixture)	Unclassified	Unclassified						
4310	Engineered	Modeled	Simulated communities (sequence read mixture)	Sanger	Unclassified						
4309	Engineered	Modeled	Simulated communities (sequence read mixture)	Unclassified	Unclassified						
4307	Engineered	Modeled	Unclassified	Unclassified	Unclassified						
4390	Engineered	Paper	Currency notes	Unclassified	Unclassified						
4910	Engineered	Solid waste	Agricultural waste	Composting	Unclassified						
4936	Engineered	Solid waste	Animal waste	Composting	Unclassified						
4916	Engineered	Solid waste	Animal waste	Manure	Unclassified						
4278	Engineered	Solid waste	Animal waste	Unclassified	Unclassified						
4927	Engineered	Solid waste	Bagasse	Composting	Unclassified						
4930	Engineered	Solid waste	Cellulose associated waste	Composting	Unclassified						
4273	Engineered	Solid waste	Composting	Unclassified	Unclassified						
4893	Engineered	Solid waste	Feedstock	Composting	Unclassified						
4948	Engineered	Solid waste	Food waste	Composting	Unclassified						
4873	Engineered	Solid waste	Grass	Composting	Bioreactor						
4874	Engineered	Solid waste	Grass	Composting	Unclassified						
4907	Engineered	Solid waste	Household waste	Composting	Unclassified						
4939	Engineered	Solid waste	Industrial waste	Composting	Unclassified						
4277	Engineered	Solid waste	Landfill	Unclassified	Unclassified						
4954	Engineered	Solid waste	Latrine chamber	Composting	Unclassified						
4276	Engineered	Solid waste	Unclassified	Unclassified	Unclassified						
4966	Engineered	Solid waste	Unknown material	Composting	Bioreactor						
4967	Engineered	Solid waste	Unknown material	Composting	Unclassified						
4945	Engineered	Solid waste	Urban waste	Composting	Unclassified						
4934	Engineered	Solid waste	Vegetable	Composting	Unclassified						
4942	Engineered	Solid waste	Vermicompost	Unclassified	Unclassified						
4856	Engineered	Solid waste	Wood	Composting	Bioreactor						
4857	Engineered	Solid waste	Wood	Composting	Unclassified						
4924	Engineered	Solid waste	Zoo waste	Composting	Unclassified						
4292	Engineered	Unclassified	Unclassified	Unclassified	Unclassified						
4672	Engineered	WWTP	Wastewater	Unclassified	Unclassified						
4254	Engineered	Wastewater	Activated Sludge	Unclassified	Unclassified						
4271	Engineered	Wastewater	Anaerobic digestor	Unclassified	Unclassified						
4268	Engineered	Wastewater	Industrial wastewater	Agricultural wastewater	Unclassified						
4918	Engineered	Wastewater	Industrial wastewater	Hospital wastewater	Unclassified						
4269	Engineered	Wastewater	Industrial wastewater	Landfill leachate	Unclassified						
4690	Engineered	Wastewater	Industrial wastewater	Mine water	Sediment						
4270	Engineered	Wastewater	Industrial wastewater	Mine water	Unclassified						
4265	Engineered	Wastewater	Industrial wastewater	Petrochemical	Unclassified						
4266	Engineered	Wastewater	Industrial wastewater	Pulp and paper wastewater	Unclassified						
4267	Engineered	Wastewater	Industrial wastewater	Unclassified	Unclassified						
4262	Engineered	Wastewater	Nutrient removal	Biological phosphorus removal	Activated sludge						
4263	Engineered	Wastewater	Nutrient removal	Biological phosphorus removal	Bioreactor						
4730	Engineered	Wastewater	Nutrient removal	Biological phosphorus removal	Unclassified						
4257	Engineered	Wastewater	Nutrient removal	Dissolved organics (aerobic)	Activated sludge						
4258	Engineered	Wastewater	Nutrient removal	Dissolved organics (aerobic)	Unclassified						
4259	Engineered	Wastewater	Nutrient removal	Dissolved organics (anaerobic)	Activated sludge						
4260	Engineered	Wastewater	Nutrient removal	Dissolved organics (anaerobic)	Unclassified						
4256	Engineered	Wastewater	Nutrient removal	Nitrogen removal	Anammox						
4255	Engineered	Wastewater	Nutrient removal	Nitrogen removal	Unclassified						
4261	Engineered	Wastewater	Nutrient removal	Unclassified	Unclassified						
4662	Engineered	Wastewater	Sewage	Unclassified	Unclassified						
4264	Engineered	Wastewater	Unclassified	Unclassified	Unclassified						
4620	Environmental	Air	Indoor Air	Dust	Unclassified						
3961	Environmental	Air	Indoor Air	Unclassified	Unclassified						
3962	Environmental	Air	Outdoor Air	Unclassified	Unclassified						
3963	Environmental	Air	Unclassified	Unclassified	Unclassified						
3965	Environmental	Aquatic	Aquaculture	Unclassified	Unclassified						
4514	Environmental	Aquatic	Freshwater	Creek	Unclassified						
4059	Environmental	Aquatic	Freshwater	Drinking water	Chlorinated						
4058	Environmental	Aquatic	Freshwater	Drinking water	Delivery networks						
5122	Environmental	Aquatic	Freshwater	Drinking water	Filtered water						
4547	Environmental	Aquatic	Freshwater	Drinking water	Unchlorinated						
4057	Environmental	Aquatic	Freshwater	Drinking water	Unclassified						
4164	Environmental	Aquatic	Freshwater	Groundwater	Acid Mine Drainage						
4167	Environmental	Aquatic	Freshwater	Groundwater	Cave water						
4169	Environmental	Aquatic	Freshwater	Groundwater	Coalbed water						
4166	Environmental	Aquatic	Freshwater	Groundwater	Contaminated						
4168	Environmental	Aquatic	Freshwater	Groundwater	Mine						
4170	Environmental	Aquatic	Freshwater	Groundwater	Mine drainage						
4654	Environmental	Aquatic	Freshwater	Groundwater	Spring						
4165	Environmental	Aquatic	Freshwater	Groundwater	Unclassified						
4420	Environmental	Aquatic	Freshwater	Harbor	Unclassified						
4060	Environmental	Aquatic	Freshwater	Ice	Glacial lake						
4063	Environmental	Aquatic	Freshwater	Ice	Glacier						
4062	Environmental	Aquatic	Freshwater	Ice	Ice accretions						
4061	Environmental	Aquatic	Freshwater	Ice	Unclassified						
4426	Environmental	Aquatic	Freshwater	Lake	Sediment						
4179	Environmental	Aquatic	Freshwater	Lake	Unclassified						
4177	Environmental	Aquatic	Freshwater	Lentic	Epilimnion						
4173	Environmental	Aquatic	Freshwater	Lentic	Hypolimnion						
4176	Environmental	Aquatic	Freshwater	Lentic	Limnetic zone						
4178	Environmental	Aquatic	Freshwater	Lentic	Littoral zone						
4175	Environmental	Aquatic	Freshwater	Lentic	Sediment						
4174	Environmental	Aquatic	Freshwater	Lentic	Unclassified						
4645	Environmental	Aquatic	Freshwater	Lotic	Unclassified						
4191	Environmental	Aquatic	Freshwater	Microbialites	Unclassified						
4180	Environmental	Aquatic	Freshwater	Pond	Sediment						
4380	Environmental	Aquatic	Freshwater	Pond	Unclassified						
5237	Environmental	Aquatic	Freshwater	Reservoir	Unclassified						
5109	Environmental	Aquatic	Freshwater	River	Sediment						
4512	Environmental	Aquatic	Freshwater	River	Unclassified						
4171	Environmental	Aquatic	Freshwater	Sediment	Unclassified						
4653	Environmental	Aquatic	Freshwater	Sinkhole	Unclassified						
4190	Environmental	Aquatic	Freshwater	Storm water	Drainage pipe biofilm						
4189	Environmental	Aquatic	Freshwater	Storm water	Unclassified						
4737	Environmental	Aquatic	Freshwater	Subglacial lake	Unclassified						
4562	Environmental	Aquatic	Freshwater	Subterranean lake	Unclassified						
4159	Environmental	Aquatic	Freshwater	Unclassified	Unclassified						
5210	Environmental	Aquatic	Freshwater	Water tank	Unclassified						
4185	Environmental	Aquatic	Freshwater	Wetlands	Bog						
4184	Environmental	Aquatic	Freshwater	Wetlands	Marsh						
4183	Environmental	Aquatic	Freshwater	Wetlands	Sediment						
4182	Environmental	Aquatic	Freshwater	Wetlands	Swamp						
4181	Environmental	Aquatic	Freshwater	Wetlands	Unclassified						
4045	Environmental	Aquatic	Marine	Coastal	Sediment						
4044	Environmental	Aquatic	Marine	Coastal	Unclassified						
4024	Environmental	Aquatic	Marine	Cold seeps	Sediment						
4023	Environmental	Aquatic	Marine	Cold seeps	Unclassified						
4000	Environmental	Aquatic	Marine	Fossil	Whale fall						
4576	Environmental	Aquatic	Marine	Gulf	Unclassified						
4454	Environmental	Aquatic	Marine	Harbor	Unclassified						
4031	Environmental	Aquatic	Marine	Hydrothermal vents	Black smokers						
4030	Environmental	Aquatic	Marine	Hydrothermal vents	Diffuse flow						
4028	Environmental	Aquatic	Marine	Hydrothermal vents	Microbial mats						
4029	Environmental	Aquatic	Marine	Hydrothermal vents	Sediment						
4027	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified						
4574	Environmental	Aquatic	Marine	Inlet	Unclassified						
4017	Environmental	Aquatic	Marine	Intertidal zone	Beach						
4014	Environmental	Aquatic	Marine	Intertidal zone	Coral reef						
4015	Environmental	Aquatic	Marine	Intertidal zone	Estuary						
4018	Environmental	Aquatic	Marine	Intertidal zone	Mangrove swamp						
4019	Environmental	Aquatic	Marine	Intertidal zone	Microbialites						
4020	Environmental	Aquatic	Marine	Intertidal zone	Oil-contaminated						
4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh						
4016	Environmental	Aquatic	Marine	Intertidal zone	Sediment						
4013	Environmental	Aquatic	Marine	Intertidal zone	Unclassified						
4032	Environmental	Aquatic	Marine	Marginal Sea	Unclassified						
4545	Environmental	Aquatic	Marine	Mud volcano	Unclassified						
4033	Environmental	Aquatic	Marine	Neritic zone	Oil-contaminated sediment						
4035|4048	Environmental	Aquatic	Marine	Neritic zone	Sediment						
4034	Environmental	Aquatic	Marine	Neritic zone	Unclassified						
4006	Environmental	Aquatic	Marine	Oceanic	Abyssal plane						
4010	Environmental	Aquatic	Marine	Oceanic	Aphotic zone						
4040	Environmental	Aquatic	Marine	Oceanic	Benthic						
4656	Environmental	Aquatic	Marine	Oceanic	Crustal Fluids						
4557	Environmental	Aquatic	Marine	Oceanic	Microbial mats						
4636	Environmental	Aquatic	Marine	Oceanic	Oceanic crust						
4011	Environmental	Aquatic	Marine	Oceanic	Oil-contaminated						
4007	Environmental	Aquatic	Marine	Oceanic	Oil-contaminated sediment						
4004	Environmental	Aquatic	Marine	Oceanic	Photic zone						
4009	Environmental	Aquatic	Marine	Oceanic	Sediment						
4008	Environmental	Aquatic	Marine	Oceanic	Unclassified						
4026	Environmental	Aquatic	Marine	Oil seeps	Unclassified						
4021	Environmental	Aquatic	Marine	Pelagic	Unclassified						
4686	Environmental	Aquatic	Marine	Seaweed	Unclassified						
4564	Environmental	Aquatic	Marine	Sediment	Unclassified						
4516	Environmental	Aquatic	Marine	Strait	Unclassified						
4647	Environmental	Aquatic	Marine	Subtidal zone	Sediment						
4002	Environmental	Aquatic	Marine	Unclassified	Oil-contaminated sediment						
4003	Environmental	Aquatic	Marine	Unclassified	Unclassified						
4022	Environmental	Aquatic	Marine	Volcanic	Unclassified						
4056	Environmental	Aquatic	Marine	Wetlands	Sediment						
4055	Environmental	Aquatic	Marine	Wetlands	Unclassified						
3969	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Carbonate						
3967	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Microbial mats						
3968	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Sediment						
3966	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Unclassified						
4695	Environmental	Aquatic	Non-marine Saline and Alkaline	Fracking water	Unclassified						
3979	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats						
3980	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Sediment						
3978	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Unclassified						
3983	Environmental	Aquatic	Non-marine Saline and Alkaline	Near-boiling (>90C)	Alkaline						
3971	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Athalassic						
3977	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Epilimnion						
3972	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Hypolimnion						
3974	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Microbial mats						
3975	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Sediment						
3976	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Thalassic						
3973	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified						
3982	Environmental	Aquatic	Non-marine Saline and Alkaline	Salt crystallizer ponds	Microbial mats						
3981	Environmental	Aquatic	Non-marine Saline and Alkaline	Salt crystallizer ponds	Unclassified						
3970	Environmental	Aquatic	Non-marine Saline and Alkaline	Unclassified	Unclassified						
3985	Environmental	Aquatic	Sediment	Unclassified	Unclassified						
3995	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Acidic						
3994	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Alkaline						
4655	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Microbial mats						
3998	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Neutral						
3997	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment						
3992	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified						
3993	Environmental	Aquatic	Thermal springs	Near-boiling (>90C)	Alkaline						
4818	Environmental	Aquatic	Thermal springs	Near-boiling (>90C)	Unclassified						
3999	Environmental	Aquatic	Thermal springs	Sediment	Unclassified						
3990	Environmental	Aquatic	Thermal springs	Tepid (25-34C)	Sediment						
3989	Environmental	Aquatic	Thermal springs	Tepid (25-34C)	Unclassified						
3991	Environmental	Aquatic	Thermal springs	Unclassified	Unclassified						
4546	Environmental	Aquatic	Thermal springs	Warm (34-42C)	Acidic						
3987	Environmental	Aquatic	Thermal springs	Warm (34-42C)	Neutral						
3988	Environmental	Aquatic	Thermal springs	Warm (34-42C)	Sediment						
3986	Environmental	Aquatic	Thermal springs	Warm (34-42C)	Unclassified						
3984	Environmental	Aquatic	Unclassified	Unclassified	Unclassified						
4706	Environmental	Terrestrial	Agricultural field	Paddy soil	Unclassified						
4199	Environmental	Terrestrial	Agricultural field	Unclassified	Unclassified						
4195	Environmental	Terrestrial	Asphalt lakes	Tar	Unclassified						
4718	Environmental	Terrestrial	Asphalt lakes	Unclassified	Unclassified						
4491	Environmental	Terrestrial	Cave	Unclassified	Unclassified						
4643	Environmental	Terrestrial	Cave	Wall	Biofilm						
4822	Environmental	Terrestrial	Cave	Wall	Unclassified						
4423	Environmental	Terrestrial	Deep subsurface	Aquifer	Unclassified						
4246	Environmental	Terrestrial	Deep subsurface	Clay	Unclassified						
4533	Environmental	Terrestrial	Deep subsurface	Fracking water	Unclassified						
4605	Environmental	Terrestrial	Deep subsurface	Oil well	Unclassified						
4245	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified						
4607	Environmental	Terrestrial	Deep subsurface	Water well	Unclassified						
4668	Environmental	Terrestrial	Floodplain	Sediment	Unclassified						
4716	Environmental	Terrestrial	Floodplain	Unclassified	Unclassified						
4193	Environmental	Terrestrial	Geologic	Mine	Unclassified						
4543	Environmental	Terrestrial	Geologic	Sediment	Unclassified						
4192	Environmental	Terrestrial	Geologic	Unclassified	Unclassified						
4689	Environmental	Terrestrial	Mud volcano	Unclassified	Unclassified						
4841	Environmental	Terrestrial	Nest	Alligator nest	Unclassified						
4194	Environmental	Terrestrial	Oil reservoir	Unclassified	Unclassified						
4553	Environmental	Terrestrial	Peat	Unclassified	Unclassified						
4541	Environmental	Terrestrial	Plant litter	Unclassified	Unclassified						
4650	Environmental	Terrestrial	Rock-dwelling (endoliths)	Unclassified	Unclassified						
4201	Environmental	Terrestrial	Rock-dwelling (subaerial biofilms)	Unclassified	Unclassified						
4711	Environmental	Terrestrial	Soil	Biocrust	Unclassified						
4230	Environmental	Terrestrial	Soil	Clay	Agricultural land						
4231	Environmental	Terrestrial	Soil	Clay	Contaminated						
4228	Environmental	Terrestrial	Soil	Clay	Grasslands						
4232	Environmental	Terrestrial	Soil	Clay	Oil-contaminated						
4229	Environmental	Terrestrial	Soil	Clay	Unclassified						
4765	Environmental	Terrestrial	Soil	Crop	Unclassified						
4418	Environmental	Terrestrial	Soil	Fossil	Unclassified						
4745	Environmental	Terrestrial	Soil	Glacier	Unclassified						
4237	Environmental	Terrestrial	Soil	Loam	Agricultural						
4242	Environmental	Terrestrial	Soil	Loam	Agricultural land						
4244	Environmental	Terrestrial	Soil	Loam	Agricultural soil						
4243	Environmental	Terrestrial	Soil	Loam	Contaminated						
4239	Environmental	Terrestrial	Soil	Loam	Forest soil						
4238	Environmental	Terrestrial	Soil	Loam	Grasslands						
4241	Environmental	Terrestrial	Soil	Loam	Unclassified						
4202	Environmental	Terrestrial	Soil	Sand	Desert						
4224	Environmental	Terrestrial	Soil	Sand	Forest soil						
4223	Environmental	Terrestrial	Soil	Sand	Grasslands						
4204	Environmental	Terrestrial	Soil	Sand	Oil-contaminated						
4203	Environmental	Terrestrial	Soil	Sand	Unclassified						
4227	Environmental	Terrestrial	Soil	Silt	Unclassified						
4578	Environmental	Terrestrial	Soil	Soil crust	Unclassified						
4207	Environmental	Terrestrial	Soil	Unclassified	Agricultural						
4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land						
4217	Environmental	Terrestrial	Soil	Unclassified	Boreal forest						
4215	Environmental	Terrestrial	Soil	Unclassified	Contaminated						
4210	Environmental	Terrestrial	Soil	Unclassified	Desert						
4205	Environmental	Terrestrial	Soil	Unclassified	Forest Soil						
4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands						
4218	Environmental	Terrestrial	Soil	Unclassified	Mine						
4221	Environmental	Terrestrial	Soil	Unclassified	Mine drainage						
4220	Environmental	Terrestrial	Soil	Unclassified	Oil-contaminated						
4206	Environmental	Terrestrial	Soil	Unclassified	Permafrost						
5244	Environmental	Terrestrial	Soil	Unclassified	Riparian soil						
4214	Environmental	Terrestrial	Soil	Unclassified	Shrubland						
4216	Environmental	Terrestrial	Soil	Unclassified	Tropical rainforest						
4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified						
4211	Environmental	Terrestrial	Soil	Unclassified	Uranium contaminated						
4234	Environmental	Terrestrial	Soil	Wetlands	Permafrost						
4235	Environmental	Terrestrial	Soil	Wetlands	Unclassified						
4198	Environmental	Terrestrial	Unclassified	Unclassified	Unclassified						
4196	Environmental	Terrestrial	Volcanic	Fumaroles	Unclassified						
4197	Environmental	Terrestrial	Volcanic	Unclassified	Unclassified						
3964	Environmental	Unclassified	Unclassified	Unclassified	Unclassified						
3960	Host-associated	Algae	Brown Algae	Unclassified	Unclassified						
4675	Host-associated	Algae	Diatoms	Unclassified	Unclassified						
4835	Host-associated	Algae	Golden Algae	Unclassified	Unclassified						
3956	Host-associated	Algae	Green algae	Ectosymbionts	Unclassified						
4760	Host-associated	Algae	Green algae	Unclassified	Unclassified						
4678	Host-associated	Algae	Haptophytes	Unclassified	Unclassified						
4815	Host-associated	Algae	Microalgae	Unclassified	Unclassified						
3958	Host-associated	Algae	Red algae	Ectosymbionts	Unclassified						
3959	Host-associated	Algae	Red algae	Unclassified	Unclassified						
3957	Host-associated	Algae	Unclassified	Unclassified	Unclassified						
4829	Host-associated	Algae	Yellow-green algae	Unclassified	Unclassified						
5167	Host-associated	Amphibia	Digestive system	Intestine	Unclassified						
4083	Host-associated	Amphibia	Digestive system	Unclassified	Unclassified						
5148	Host-associated	Amphibia	Excretory system	Kidney	Unclassified						
5165	Host-associated	Amphibia	Excretory system	Liver	Unclassified						
4085	Host-associated	Amphibia	Excretory system	Unclassified	Unclassified						
5170	Host-associated	Amphibia	Respiratory system	Lung	Unclassified						
4084	Host-associated	Amphibia	Unclassified	Unclassified	Unclassified						
5070	Host-associated	Annelida	Digestive system	Crop	Unclassified						
4329	Host-associated	Annelida	Digestive system	Digestive tube	Extracellular symbionts						
4767	Host-associated	Annelida	Digestive system	Digestive tube	Unclassified						
4330	Host-associated	Annelida	Digestive system	Unclassified	Unclassified						
5195	Host-associated	Annelida	Excretory system	Nephridia	Unclassified						
4821	Host-associated	Annelida	Gills	Unclassified	Unclassified						
4337	Host-associated	Annelida	Integument	Cuticle	Epibionts						
4768	Host-associated	Annelida	Integument	Cuticle	Unclassified						
4335	Host-associated	Annelida	Integument	Subcuticular space	Extracellular symbionts						
4769	Host-associated	Annelida	Integument	Subcuticular space	Unclassified						
4336	Host-associated	Annelida	Integument	Unclassified	Unclassified						
4334	Host-associated	Annelida	Intracellular endosymbionts	Trophosome	Unclassified						
4332	Host-associated	Annelida	Reproductive system	Egg capsule	Extracellular						
4333	Host-associated	Annelida	Reproductive system	Egg capsule	Unclassified						
4771	Host-associated	Annelida	Reproductive system	Unclassified	Unclassified						
5115	Host-associated	Annelida	Tissue	Unclassified	Unclassified						
4331	Host-associated	Annelida	Unclassified	Unclassified	Unclassified						
4531	Host-associated	Annelida	Whole body	Unclassified	Unclassified						
4556	Host-associated	Arthropoda	Ant dump	Unclassified	Unclassified						
5208	Host-associated	Arthropoda	Ant	Cuticle	Unclassified						
4904	Host-associated	Arthropoda	Ant	Unclassified	Unclassified						
4838	Host-associated	Arthropoda	Bee	Abdomen	Unclassified						
4880	Host-associated	Arthropoda	Bee	Beehive	Honey						
4882	Host-associated	Arthropoda	Bee	Royal jelly	Unclassified						
4603	Host-associated	Arthropoda	Beetle	Unclassified	Unclassified						
5205	Host-associated	Arthropoda	Bugs	Unclassified	Unclassified						
5229	Host-associated	Arthropoda	Butterfly	Unclassified	Unclassified						
4681	Host-associated	Arthropoda	Crustacea	Copepoda	Tissue						
4774	Host-associated	Arthropoda	Crustacea	Copepoda	Unclassified						
4773	Host-associated	Arthropoda	Crustacea	Unclassified	Unclassified						
4069	Host-associated	Arthropoda	Digestive system	Foregut	Unclassified						
4070	Host-associated	Arthropoda	Digestive system	Gut	P3 segment						
4071	Host-associated	Arthropoda	Digestive system	Gut	Proctodeal segment						
4072	Host-associated	Arthropoda	Digestive system	Gut	Unclassified						
4955	Host-associated	Arthropoda	Digestive system	Hindgut	Fecal						
4068	Host-associated	Arthropoda	Digestive system	Hindgut	P1 segment						
4066	Host-associated	Arthropoda	Digestive system	Hindgut	P3 segment						
4067	Host-associated	Arthropoda	Digestive system	Hindgut	Unclassified						
4064	Host-associated	Arthropoda	Digestive system	Midgut	Unclassified						
4065	Host-associated	Arthropoda	Digestive system	Unclassified	Unclassified						
5108	Host-associated	Arthropoda	Grasshopper	Unclassified	Unclassified						
4081	Host-associated	Arthropoda	Integument	Cuticle	Thoracic segments						
4082	Host-associated	Arthropoda	Integument	Cuticle	Unclassified						
4776	Host-associated	Arthropoda	Integument	Unclassified	Unclassified						
4077	Host-associated	Arthropoda	Intracellular endosymbionts	Primary	Bacteriomes						
4777	Host-associated	Arthropoda	Intracellular endosymbionts	Primary	Unclassified						
4079	Host-associated	Arthropoda	Intracellular endosymbionts	Secondary	Unclassified						
4078	Host-associated	Arthropoda	Intracellular endosymbionts	Unclassified	Unclassified						
5202	Host-associated	Arthropoda	Lobster	Unclassified	Unclassified						
5118	Host-associated	Arthropoda	Mealybug	Unclassified	Unclassified						
5093	Host-associated	Arthropoda	Mosquito	Gut	Unclassified						
